"shortdescription","regex","attemptregex"
"An even number of 1's","(0|10*1)*","0*|(0*10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","1+(0+1+)*|0+(1+0+)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0)(0|1)*(0)"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(1|0)*0)|(1(0|1)*1)|0*|1"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0|1)*0)|(1(0|1)*1)|0*|1*"
"An even number of 1's","(0|10*1)*","0*(10*1)*0*"
"An even number of 1's","(0|10*1)*","0*(10*10*)"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","(0*(10*1)*0*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0*(1|0)*0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(1|0)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0|1)*0)|(1(0|1)*1)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0(0|1)*0)|(1(0|1)*1))?"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0*(01*0)*0*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0*(0+1*0+|1+0*1+)*0*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(((0|1)*(01)(0|1)*10(0|1))|((0|1)*(10)(0|1)*10(10)))*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0+)(0*1*)*(0+)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+0*1+)*(0+1*0+)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((1+0*1+)*)|((0+1*0+)*)"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0*|1*|(0+1+)*0|(1+0+)*1"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0*|1*|(0+1+)*0+|(1+0+)*1+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0*|1*|(0+1+)*0+|(1+0+)*1+"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(01)*(10)*"
"An even number of 1's","(0|10*1)*","(0*(11)*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(1*0*)*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(1*0*)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0|1)*0)|(1(0|1)*1)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1|0|0(0|1)*0|1(0|1)*1)?"
"An even number of 1's","(0|10*1)*","((0*10*1)*0*)?"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0+)((0|1)*)(0+)"
"An even number of 1's","(0|10*1)*","(0*10*10*)*|0*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1*(101)*1*)|(0*(010)*0*)"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0*1*)*0"
"An even number of 1's","(0|10*1)*","((0*10*1)*)|0*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","0*(0*10*10*)*"
"An even number of 1's","(0|10*1)*","(0*10*1)*0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0|1)?|((0(0|1)*0)|(1(0|1)*1))"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+0*1+)*|(0+1*0+)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0|1|(1+0*1+)*|(0+1*0+)*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","(11)*"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"An even number of 1's","(0|10*1)*","0*(10*1)*0*"
"An even number of 1's","(0|10*1)*","0*(0*10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(011*0)*|(100*1)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0+11*0+)*|(1+00*1+)*"
"An even number of 1's","(0|10*1)*","(0*(10*1)*0*)*"
"An even number of 1's","(0|10*1)*","(0*(10*1)*0*)*"
"An even number of 1's","(0|10*1)*","(0*10*1)*0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((1+|0+)|(1+0+1(1|(0+1))*)|(0+1+0(0|(1+0))*))"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0(0|1)*0)+"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0(0|1)*0)+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+(1+0+)*)|(1+(0+1+)*))?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+(1+0+)*)|(1+(0+1+)*))?"
"An even number of 1's","(0|10*1)*","(0*|(10*1))*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0*1*)*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0+)(0|1)*(0+)"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(1*0*)*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*1"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"An even number of 1's","(0|10*1)*","0*|(0*10*10*)*"
"An even number of 1's","(0|10*1)*","0*|(0*10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0+)(0|1)*(0+)"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0+)(0|1)*(0+)"
"An even number of 1's","(0|10*1)*","0*(10*1)*0*"
"An even number of 1's","(0|10*1)*","0*((10*)(10*))*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(01+)*(010)(1+0)*|(10+)*(101)(0+1)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(01+)*(010)(1+0)*|(10+)*(101)(0+1)*|0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0*1*0*1*)0+"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0*1*0*1*)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0((0|1)*1(0|1)*)0)|(1((0|1)*0(0|1)*)1))?"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0((0|1)*1(0|1)*)0)|(1((0|1)*0(0|1)*)1))|(1*)|(0*)"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0*(010)*0*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(((01*)*(010)(1*0)*)|((10*)*(101)(0*1)*)|0+|1+)?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(((01*)*(01+0)(1*0)*)|((10*)*(10+1)(0*1)*)|0+|1+)?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+0*1+)*(0+1*0+)*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0*|1*|0+(1+0+)*|1+(0+1+)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0*1*)*0"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(01+0)*|(101)*|((10)+0*1)*|((01)+1*0)*|0*|1*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0*|1*|(10+1)*|(01+1)*|((10)+0*1+)*|((01)+1*0+)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","1(0|1)*1|0(0|1)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","1(0|1)*1|0(0|1)*0?"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0(0|1)*0)+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+(0|1)*0+)*)|((1+(0|1)*1+)*)"
"An even number of 1's","(0|10*1)*","(0*(10*1)*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+1+)*0+)|((1+0+)*1+)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+1+)*0+)|((1+0+)*1+)|1?"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0*(0|1)*0*)|(1*(0|1)*1*)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(((0(0|1)*0)|0)|((1(0|1)*1)|1))?"
"An even number of 1's","(0|10*1)*","(11)*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","0*(10*1)*0*"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(1*0*)*0)|(1(1*0*)*1)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0(1*0*)*0)|(1(1*0*)*1))*"
"An even number of 1's","(0|10*1)*","(0*10*1)*"
"An even number of 1's","(0|10*1)*","0*(0*10*1)*0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"An even number of 1's","(0|10*1)*","(0*)|(10*1)*|(110*)*|(0*11)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0(0|1)*0)|(1(0|1)*1))?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0*|1*|(0(0|1)*0)|(1(0|1)*1))?"
"An even number of 1's","(0|10*1)*","0*(01*01*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0*1+)(0|1)*(1+0*)"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0+1+)(0|1)*(1+0+)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(01)*|(10)*"
"An even number of 1's","(0|10*1)*","((0*10*10*)*)|0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+((0*1*)*)0+"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0*1*)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0+1+0+)*|(1+0+1+)*|0*|1*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","1+(0*1*)*1+|0+(0*1*)*0+|0*|1*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","1+(0*1*)*1+|0+(0*1*)*0+|0*|1*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","0*|(0*10*10*)"
"An even number of 1's","(0|10*1)*","0*|(0*10*10*)*"
"An even number of 1's","(0|10*1)*","0*|(0*10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","00*(0|1)*0*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","00*(0|1)*0*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(11*0*11*)*|(00*1*00*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","11*|00*|(1(0|1)*1)*|(0(0|1)*0)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","11*|00*|(1(0|1)*1)*|(0(0|1)*0)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(00*1*00*)*|(11*0*11*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(00*1*00*)*|(11*0*11*)*|1|0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"An even number of 1's","(0|10*1)*","(0*10*10*)|0*"
"An even number of 1's","(0|10*1)*","(0*10*10*)|0*|(11)*"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"An even number of 1's","(0|10*1)*","((0*10*10*)*)|(0*)"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0(0|1)*0)+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0*011*100*)*)|((1*100*011*)*)|(0*)|(1*)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0*011*100*)*)|((1*100*011*)*)|(0*)|(1*)|((1*10*11*)*)|((0*01*00*)*)"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(01(0|1)*10)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+0*1+)*|(0+1*0+)*|0*|1*"
"An even number of 1's","(0|10*1)*","(0*10*1)*"
"An even number of 1's","(0|10*1)*","0*(0*10*1)*"
"An even number of 1's","(0|10*1)*","0*(0*10*1)*0*"
"An even number of 1's","(0|10*1)*","0*(0*10*1)*0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0(0|1)*0)|(1(0|1)*1))?"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((01)0*1*(10))*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0*|1*)|((0(0|1)*0)|(1(0|1)*1))?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0*|1*)|((0(0|1)*0)|(1(0|1)*1))?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+0*1+)*|(0+1*0+)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0*(1+0*1+)*|(0+1*0+)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+((0*1*)*)0+"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"An even number of 1's","(0|10*1)*","(11)*"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0*1*)*0|1(0*1*)*1)?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0|1|(0(0*1*)*0|1(0*1*)*1)?"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"An even number of 1's","(0|10*1)*","0*(0*10*10*)*0*"
"An even number of 1's","(0|10*1)*","(0*10*1)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0*1*0*)*0+"
"An even number of 1's","(0|10*1)*","0*(0*10*1)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"An even number of 1's","(0|10*1)*","(0*10*10*)*|0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0(0|1)*0)+"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"An even number of 1's","(0|10*1)*","0*(0*10*10*)*0*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","1+(0*1*)*1+|0+(0*1*)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0*11*00*)*)|((1*00*11*)*)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","1+(0*1*)*1+|0+(0*1*)*0+|0*|1*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+(1+0+)*)|(1+(0+1+)*))?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0*11*00*)*)|(1(1*00*11*)*)?"
"An even number of 1's","(0|10*1)*","((10*1)|0*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"An even number of 1's","(0|10*1)*","(0*(0*10*10*)*0*)"
"An even number of 1's","(0|10*1)*","(0*(0*10*10*)*0*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0|1)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+)(0*1*)(0+)|(1+)(0*1*)(1+)|0|1)?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+)(0*1*)*(0+)|(1+)(0*1*)*(1+)|0|1)?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+)(0*1*)*(0+)|(1+)(0*1*)*(1+)|0|1)?"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(01*0)*|(1+0*1*0*1+)"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0|1)*0)|(1(0|1)*1)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0|1)*0)|(1(0|1)*1)|0*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0+1*0+)*|(1+0*1+)*"
"An even number of 1's","(0|10*1)*","1*|(0|1)*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+(0+1+)*)|(0+(1+0+)*)"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+(0*1+)*)*|(0+(1*0+)*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(((1+0*1+)*)|((0+1*0+)*))?"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(0|1)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+0*1+)*|(0+1*0+)*"
"An even number of 1's","(0|10*1)*","(0+1)*11(0+1)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(1*0*)*0+"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0*(0*1*)*0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0(0|1)*0)+"
"An even number of 1's","(0|10*1)*","(0*10*1)*0*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(01)*0"
"An even number of 1's","(0|10*1)*","(0*)((0*10*1)*)(0*)"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0+)((0*1*)*)(0+)"
"An even number of 1's","(0|10*1)*","0*(10*1)*0*"
"An even number of 1's","(0|10*1)*","0*(10*10*)*"
"An even number of 1's","(0|10*1)*","((11)|0)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0*1*)*0)|(1(0*1*)1)"
"An even number of 1's","(0|10*1)*","(11)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0(0*1*)*0)|(1(0*1*)1))*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0((0*1*)*)0)|(1((0*1*)*)1)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0((0*1*)*)0)|(1((0*1*)*)1)?"
"An even number of 1's","(0|10*1)*","0*|(0*10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0|1)*0)|(1(0|1)*0)"
"An even number of 1's","(0|10*1)*"," 0*(10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","00*(0+1)*0*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+0*1+)*|(0+1*0+)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0+(1+0)*)|(1+(0+1)*)"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+(1+0)*)|(1+(0+1)*))*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0*1*)*0"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0|1|(1+0*1+)*|(0+1*0+)*"
"An even number of 1's","(0|10*1)*","0*|(0*10*10*)*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0*(0|1)0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0*(0|1)*0*"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0*|0(0*1*)*0"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0(0*1*)*0"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+0+)*1|(0+1+)*0"
"An even number of 1's","(0|10*1)*","(0*10*1)*0*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(1+0+)*1+|(0+1+)*0+"
"An even number of 1's","(0|10*1)*","(0*10*10*)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","0(0*1+0+)*|1(1*0+1+)*"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","(0(0*1+0+)*|1(1*0+1+)*)?"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","(0(0|1)*0)+"
"{0^k s 0^k | k >= 1, s in {0,1}*}","0(0|1)*0","0+(1|0)*0+"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+(1+0+)*)|(1+(0+1+)*))"
"Equal number of occurrences of ""01"" and ""10""","((0(0*|(1+0))*)|(1(1*|(0+1))*))?","((0+(1+0+)*)|(1+(0+1+)*))?"
"An even number of 1's","(0|10*1)*","0*(0*10*10*)*0*"
